"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_mark","","","","test_another",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_2","","","","test_s1",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_mark","","","","test_send_http",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_1","","","","test_s2",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_Login","TestLogin","","","test_login[case0]",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_Login","TestLogin","","","test_login[case2]",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_3","TestEditPage","","","test_2","用例描述：先登录，再去执行yyy"
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_2","","","","test_s2",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_mark","TestClass","","","test_method",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_2","","","","test_s3",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","0","testcases","Test_mark","","","","test_something_quick",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_1","","","","test_s1",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_Login","TestLogin","","","test_login[case1]",""
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_3","TestEditPage","","","test_1","用例描述：先登录，再去执行xxx"
"passed","Wed Jun 17 20:48:22 CST 2020","Wed Jun 17 20:48:22 CST 2020","1","testcases","Test_Login","TestLogin","","","test_login[case3]",""
